id,responsable,campaña,fecha,latitud,longitud,rio,altura (msnm),velocidad_media (m/s),caudal (m3/s),conductividad específica (t ref. 25°c) (us/cm),oxígeno disuelto (mg/l o2),ph (u ph),sólidos disueltos totales (mg/l),sólidos suspendidos totales (mg/l),sólidos totales (mg/l),temperatura (c),calcio disuelto (mg/l ca),calcio total (mg/l ca),dureza total (mg/l caco3),magnesio disuelto (mg/l mg),magnesio total (mg/l mg),potasio disuelto (mg/l k),potasio total (mg/l k),sodio disuelto (mg/l na),sodio total (mg/l na),demanda bioquímica de oxígeno (mg/l o2),demanda química de oxígeno (mg/l o2),arsenico disuelto (ug/l as),arsenico total (ug/l as),cadmio disuelto (ug/l cd),cadmio total (ug/l cd),cobre disuelto (ug/l cu),cobre total (ug/l cu),cromo disuelto (ug/l cr),cromo total (ug/l cr),hierro disuelto (ug/l fe),hierro total (ug/l fe),manganeso disuelto (ug/l mn),manganeso total (ug/l mn),mercurio disuelto (ug/l hg),mercurio total (ug/l hg),niquel disuelto (ug/l ni),niquel total (ug/l ni),plata disuelto (ug/l ag),plata total (ug/l ag),plomo disuelto (ug/l pb),plomo total (ug/l pb),zinc disuelto (ug/l zn),zinc total (ug/l zn),arsenico suspensión (mg/kg as),cadmio suspensión (mg/kg cd),cobre suspensión (mg/kg cu),cromo suspensión (mg/kg cr),hierro suspensión (mg/kg fe),manganeso suspensión (mg/kg mn),niquel suspensión (mg/kg ni),plomo suspensión (mg/kg pb),zinc en suspensión (mg/kg zn),turbiedad (unt),plata suspensión (mg/kg ag),mercurio suspensión (mg/kg hg),ph (mv) (mv),salinidad (sal),saturación de oxígeno (%),alcalinidad total (mg/l caco3),cloruros (mg/l cl -),sulfatos (mg/l so4=),fósforo disuelto (mg/l po4),fósforo total (mg/l po4),nitrato (mg/l no3),nitrito (mg/l no2),nitrógeno amoniacal (mg/l nh4),nitrógeno total kjeldahl (mg/l n),carbono organico disuelto (mg/l),coliformes fecales (en nmp) (nmp/100 ml),coliformes totales (en nmp) (nmp/100 ml),cianuros libre (mg/l cn-),fenoles (mg/l c6h6o),sulfuros (mg/l s=),aerobios mesófilos totales (en ufc) (ufc/100 ml),coliformes fecales (en ufc) (ufc/100 ml),coliformes totales (en ufc) (ufc/100 ml),cianuros libre (cn-),sulfuros (s=),cianuros (mg/l cn-),color (u ptco),boro disuelto (ug/l b),boro total (ug/l b),selenio disuelto (ug/l se),selenio total (ug/l se),hidrocarburos totales (mg/l),boro suspensión (mg/kg b),selenio suspensión (mg/kg se),cobre total (cu),cromo disuelto (cr),cromo total (cr),hierro disuelto (fe),hierro total (fe),manganeso disuelto (mn),manganeso total (mn),mercurio disuelto (hg),mercurio total (hg),niquel disuelto (ni),niquel total (ni),plata disuelto (ag),plata total (ag),plomo disuelto (pb),plomo total (pb),selenio disuelto (se),selenio total (se),zinc disuelto (zn),zinc total (zn),fenoles (c6h6o),aerobios mesófilos totales (en ufc) (ufc/ml),hidrocarburos totales (),cadmio total (cd),cobre disuelto (cu),fósforo total (po4),arsenico total (as),boro disuelto (b),boro total (b),cadmio disuelto (cd),demanda bioquímica de oxígeno (o2),demanda química de oxígeno (o2),arsenico disuelto (as),magnesio total (mg),potasio disuelto (k),sodio disuelto (na),sulfatos (so4=),nitrato (no3),nitrito (no2),nitrógeno amoniacal (nh4),fósforo disuelto (po4),alcalinidad fenolftaleina (mg/l caco3),turbiedad (ntu),bismuto disuelto (ug/l bi),bismuto total (ug/l bi),talio disuelto (ug/l tl),talio total (ug/l tl),bismuto suspensión (mg/kg bi),talio en suspensión (mg/kg tl),presión parcial (mm hg),resistividad (ohm.cm),bismuto total (bi),talio disuelto (tl),talio total (tl),bismuto disuelto (bi),aerobios mesófilos totales (en nmp) (nmp/100 ml),cianuros (cn-),coliformes totales (en ufc) (),coliformes totales (en nmp) (),alcalinidad total (caco3),dureza total (caco3),magnesio disuelto (mg),potasio total (k),sodio total (na),nitrógeno total kjeldahl (n),aerobios mesófilos totales (en ufc) (),coliformes fecales (en nmp) (),coliformes fecales (en ufc) (),ph en laboratorio (u ph),sólidos sedimentables (ml/l),calcio disuelto (ca),calcio total (ca),cloruros (cl -),carbono orgánico total (mg/l)
1, Unidad de Medio Ambiente,Abril 2007,2007-04-26 08:05:00,-22.3792,-62.5189,Pilcomayo,238.0,1.027,124.0,709.0,6.32,7.81,486.0,504.0,990.0,17.7,60.1,63.0,270.0,21.0,26.9,3.2,8.53,48.3,58.7,27.0,63.0,2.3,17.0,0.2,1.6,1.2,26.0,1.1,58.0,250.0,33000.0,11.3,539.0,0.08,0.08,2.8,32.0,0.08,0.08,0.08,59.0,3.3,89.0,29.17,3.17,49.21,112.9,64980.16,1047.02,57.94,110.71,170.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2, Unidad de Medio Ambiente,Abril 2007,2007-04-27 10:00:00,-21.2794,-63.4546,Pilcomayo,431.0,0.441,113.0,804.0,5.89,8.23,566.0,150.0,774.0,21.0,52.3,55.11,240.0,22.0,24.3,3.34,4.38,59.6,75.8,11.0,25.0,2.8,7.3,0.3,0.2,1.5,5.6,1.7,8.3,390.0,5200.0,8.8,115.0,0.08,0.08,3.6,7.0,0.08,0.08,2.7,5.6,,,30.0,,27.33,44.0,32066.67,708.0,22.67,15.07,,134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3, Unidad de Medio Ambiente,Abril 2007,2007-04-28 10:05:00,-21.2396,-65.2091,San Juan del Oro,2339.0,0.829,9.0,1346.0,6.44,8.23,1100.0,59.0,1200.0,12.9,141.0,155.0,610.0,60.0,63.0,4.78,7.64,73.7,84.5,22.8,7.0,3.0,4.9,0.2,0.08,1.3,7.2,2.0,2.7,470.0,20000.0,11.8,66.0,0.08,0.08,5.0,7.8,0.08,0.08,0.08,3.0,9.9,12.0,32.2,,100.0,11.86,331016.95,918.64,47.46,,35.59,51.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4, Unidad de Medio Ambiente,Abril 2007,2007-04-28 13:00:00,-20.7421,-65.2414,Tumusla,2336.0,0.55,8.0,1285.0,5.63,8.31,1000.0,270.0,1500.0,16.8,99.1,154.0,700.0,86.3,91.0,5.33,9.1,55.9,67.9,40.35,46.0,3.2,7.6,0.2,0.35,0.9,9.1,2.4,17.0,340.0,11000.0,94.0,317.0,0.08,0.08,5.6,16.2,0.08,0.08,0.08,8.5,3.2,38.4,16.3,1.3,30.37,54.07,39481.48,825.93,39.26,11.74,130.37,362.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5, Unidad de Medio Ambiente,Abril 2007,2007-04-29 10:30:00,-19.4719,-65.7936,Tarapaya,3341.0,0.74,2.0,813.0,4.77,6.72,620.0,150.0,800.0,13.2,91.5,103.0,310.0,10.0,13.4,5.59,8.31,34.0,42.9,81.0,21.0,18.2,170.0,14.7,20.0,7.5,122.0,0.4,4.2,3000.0,20000.0,950.0,1200.0,0.08,0.08,13.3,18.2,0.08,1.2,0.08,49.0,4300.0,5700.0,1012.0,35.33,763.33,25.33,113333.33,1666.67,32.67,289.4,9333.33,196.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6, Unidad de Medio Ambiente,Mayo 2007,2007-05-28 08:00:00,-22.3792,-62.5189,Pilcomayo,238.0,0.858,72.0,941.0,6.4,7.73,894.0,2044.0,2560.0,15.6,77.0,83.0,372.0,31.0,43.0,4.7,7.3,85.5,95.0,17.0,53.0,2.0,44.0,0.1,7.0,2.0,70.0,1.0,164.0,180.0,62000.0,25.0,1000.0,0.04,0.04,2.0,86.0,0.1,2.0,0.1,168.0,1.0,265.0,20.55,3.42,33.27,79.75,30244.62,477.01,41.1,79.89,129.16,1058.0,0.98,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7, Unidad de Medio Ambiente,Mayo 2007,2007-05-29 09:35:00,-21.2794,-63.4546,Pilcomayo,431.0,,,1001.0,7.54,8.22,866.0,62.0,936.0,11.1,71.0,75.0,347.0,34.0,35.0,4.5,4.6,94.0,95.0,4.0,12.0,0.1,10.0,0.1,2.0,0.2,9.0,0.1,7.0,100.0,3500.0,0.1,107.0,0.04,0.04,0.1,8.0,0.1,1.0,0.1,8.0,3.0,57.0,161.29,32.26,141.94,111.29,56451.61,1725.81,129.03,56.45,870.97,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8, Unidad de Medio Ambiente,Mayo 2007,2007-05-30 09:45:00,-21.2396,-65.2091,San Juan del Oro,2339.0,0.73,5.0,1397.0,6.4,8.35,,29.0,2344.0,7.8,150.0,155.0,645.0,67.0,68.0,6.0,6.4,90.0,90.0,44.17,6.0,3.0,8.0,0.1,22.0,1.0,8.0,3.0,5.0,310.0,4500.0,14.0,172.0,0.04,0.04,3.0,13.0,0.1,124.0,0.1,8.0,5.0,100.0,172.41,758.62,241.38,68.97,144482.76,5448.28,344.83,68.97,3275.86,30.1,4275.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9, Unidad de Medio Ambiente,Mayo 2007,2007-05-30 12:35:00,-20.7421,-65.2414,Tumusla,2336.0,0.446,6.0,1306.0,5.55,8.33,2136.0,242.0,2454.0,11.7,100.0,105.0,630.0,95.0,98.0,5.9,5.9,69.0,71.0,47.3,58.0,3.0,16.0,0.1,4.0,1.0,31.0,1.0,24.0,200.0,15000.0,70.0,650.0,0.04,0.04,6.0,31.0,0.1,7.0,0.1,13.0,9.0,133.0,53.72,16.53,123.97,95.04,61157.02,2396.69,103.31,29.34,512.4,230.0,28.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10, Unidad de Medio Ambiente,Mayo 2007,2007-05-31 07:15:00,-19.4719,-65.7936,Tarapaya,3341.0,0.532,1.0,907.0,6.18,7.15,748.0,740.0,1456.0,4.7,130.0,140.0,330.0,9.3,10.0,10.2,10.0,51.0,51.0,98.07,75.0,20.0,1750.0,9.0,80.0,10.0,600.0,1.0,53.0,2400.0,45000.0,540.0,1400.0,0.04,0.3,10.0,36.0,0.1,62.0,0.1,2000.0,1650.0,8900.0,2337.84,95.95,797.3,70.27,57567.57,1162.16,35.14,2688.92,9797.3,745.0,83.78,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
