id,responsable,campaña,fecha,latitud,longitud,rio,altura (msnm),velocidad_media (m/s),caudal (m3/s),conductividad específica (t ref. 25°c) (us/cm),oxígeno disuelto (mg/l o2),ph (u ph),sólidos disueltos totales (mg/l),sólidos suspendidos totales (mg/l),sólidos totales (mg/l),temperatura (c),calcio disuelto (mg/l ca),calcio total (mg/l ca),dureza total (mg/l caco3),magnesio disuelto (mg/l mg),magnesio total (mg/l mg),potasio disuelto (mg/l k),potasio total (mg/l k),sodio disuelto (mg/l na),sodio total (mg/l na),demanda bioquímica de oxígeno (mg/l o2),demanda química de oxígeno (mg/l o2),arsenico disuelto (ug/l as),arsenico total (ug/l as),cadmio disuelto (ug/l cd),cadmio total (ug/l cd),cobre disuelto (ug/l cu),cobre total (ug/l cu),cromo disuelto (ug/l cr),cromo total (ug/l cr),hierro disuelto (ug/l fe),hierro total (ug/l fe),manganeso disuelto (ug/l mn),manganeso total (ug/l mn),mercurio disuelto (ug/l hg),mercurio total (ug/l hg),niquel disuelto (ug/l ni),niquel total (ug/l ni),plata disuelto (ug/l ag),plata total (ug/l ag),plomo disuelto (ug/l pb),plomo total (ug/l pb),zinc disuelto (ug/l zn),zinc total (ug/l zn),arsenico suspensión (mg/kg as),cadmio suspensión (mg/kg cd),cobre suspensión (mg/kg cu),cromo suspensión (mg/kg cr),hierro suspensión (mg/kg fe),manganeso suspensión (mg/kg mn),niquel suspensión (mg/kg ni),plomo suspensión (mg/kg pb),zinc en suspensión (mg/kg zn),turbiedad (unt),plata suspensión (mg/kg ag),mercurio suspensión (mg/kg hg),ph (mv) (mv),salinidad (sal),saturación de oxígeno (%),alcalinidad total (mg/l caco3),cloruros (mg/l cl -),sulfatos (mg/l so4=),fósforo disuelto (mg/l po4),fósforo total (mg/l po4),nitrato (mg/l no3),nitrito (mg/l no2),nitrógeno amoniacal (mg/l nh4),nitrógeno total kjeldahl (mg/l n),carbono organico disuelto (mg/l),coliformes fecales (en nmp) (nmp/100 ml),coliformes totales (en nmp) (nmp/100 ml),cianuros libre (mg/l cn-),fenoles (mg/l c6h6o),sulfuros (mg/l s=),aerobios mesófilos totales (en ufc) (ufc/100 ml),coliformes fecales (en ufc) (ufc/100 ml),coliformes totales (en ufc) (ufc/100 ml),cianuros libre (cn-),sulfuros (s=),cianuros (mg/l cn-),color (u ptco),boro disuelto (ug/l b),boro total (ug/l b),selenio disuelto (ug/l se),selenio total (ug/l se),hidrocarburos totales (mg/l),boro suspensión (mg/kg b),selenio suspensión (mg/kg se),cobre total (cu),cromo disuelto (cr),cromo total (cr),hierro disuelto (fe),hierro total (fe),manganeso disuelto (mn),manganeso total (mn),mercurio disuelto (hg),mercurio total (hg),niquel disuelto (ni),niquel total (ni),plata disuelto (ag),plata total (ag),plomo disuelto (pb),plomo total (pb),selenio disuelto (se),selenio total (se),zinc disuelto (zn),zinc total (zn),fenoles (c6h6o),aerobios mesófilos totales (en ufc) (ufc/ml),hidrocarburos totales (),cadmio total (cd),cobre disuelto (cu),fósforo total (po4),arsenico total (as),boro disuelto (b),boro total (b),cadmio disuelto (cd),demanda bioquímica de oxígeno (o2),demanda química de oxígeno (o2),arsenico disuelto (as),magnesio total (mg),potasio disuelto (k),sodio disuelto (na),sulfatos (so4=),nitrato (no3),nitrito (no2),nitrógeno amoniacal (nh4),fósforo disuelto (po4),alcalinidad fenolftaleina (mg/l caco3),turbiedad (ntu),bismuto disuelto (ug/l bi),bismuto total (ug/l bi),talio disuelto (ug/l tl),talio total (ug/l tl),bismuto suspensión (mg/kg bi),talio en suspensión (mg/kg tl),presión parcial (mm hg),resistividad (ohm.cm),bismuto total (bi),talio disuelto (tl),talio total (tl),bismuto disuelto (bi),aerobios mesófilos totales (en nmp) (nmp/100 ml),cianuros (cn-),coliformes totales (en ufc) (),coliformes totales (en nmp) (),alcalinidad total (caco3),dureza total (caco3),magnesio disuelto (mg),potasio total (k),sodio total (na),nitrógeno total kjeldahl (n),aerobios mesófilos totales (en ufc) (),coliformes fecales (en nmp) (),coliformes fecales (en ufc) (),ph en laboratorio (u ph),sólidos sedimentables (ml/l),calcio disuelto (ca),calcio total (ca),cloruros (cl -),carbono orgánico total (mg/l)
11, Unidad de Medio Ambiente,Junio 2007,2007-06-26 08:10:00,-22.3792,-62.5189,Pilcomayo,238.0,,,1199.0,7.25,7.91,800.0,1400.0,1914.0,11.8,86.0,87.0,370.0,38.0,44.0,4.8,6.8,120.0,124.0,9.0,31.0,2.0,20.0,0.1,1.0,2.0,30.0,2.0,56.0,300.0,39000.0,30.0,550.0,0.04,0.04,3.0,35.0,0.1,1.0,0.1,33.0,3.0,116.0,12.86,,20.0,38.57,27642.86,371.43,22.86,20.14,80.71,801.0,,0.03,-55.0,0.4,68.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12, Unidad de Medio Ambiente,Junio 2007,2007-06-27 10:15:00,-21.2794,-63.4546,Pilcomayo,431.0,0.227,53.0,1223.0,6.84,8.09,842.0,33.0,866.0,15.4,85.0,88.0,370.0,43.0,44.0,6.0,6.1,130.0,131.0,7.0,20.0,4.0,5.0,0.1,1.0,5.0,4.0,0.5,3.0,290.0,1500.0,12.0,69.0,0.04,0.04,3.0,3.0,0.1,1.0,3.0,3.0,,,30.3,,,75.76,36666.67,1727.27,0.0,,,36.5,,1.21,-67.0,0.4,73.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13, Unidad de Medio Ambiente,Junio 2007,2007-06-28 10:20:00,-21.2396,-65.2091,San Juan del Oro,2339.0,0.67,6.0,1357.0,6.51,8.21,1100.0,18.0,1200.0,9.8,150.0,155.0,640.0,70.0,72.0,6.0,6.2,90.0,97.0,39.0,4.0,3.0,3.0,0.1,1.0,2.0,3.0,0.2,2.0,440.0,1500.0,20.0,50.0,0.04,0.04,3.0,4.0,0.1,1.0,1.0,2.0,17.0,10.0,0.0,,55.56,100.0,58888.89,1666.67,55.56,,,14.3,,,-71.0,0.5,74.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14, Unidad de Medio Ambiente,Junio 2007,2007-06-28 13:00:00,-20.7421,-65.2414,Tumusla,2336.0,0.432,6.0,1223.0,6.03,8.15,1000.0,202.0,1300.0,12.8,99.0,100.0,570.0,81.0,93.0,6.3,69.0,69.0,71.0,39.0,20.0,3.0,11.0,0.1,1.0,2.0,7.0,0.3,15.0,280.0,7000.0,70.0,280.0,0.04,0.04,5.0,13.0,0.1,1.0,2.0,9.0,27.0,42.0,39.6,,24.75,72.77,33267.33,1039.6,39.6,13.37,74.26,211.0,,0.2,-68.0,0.4,77.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15, Unidad de Medio Ambiente,Junio 2007,2007-06-29 09:40:00,-19.4719,-65.7936,Tarapaya,3341.0,0.453,1.0,884.0,6.11,6.65,671.0,220.0,890.0,3.6,96.0,96.0,330.0,9.4,11.0,8.6,9.3,54.0,59.0,47.0,4.0,3.0,317.0,0.1,30.0,2.0,221.0,0.2,5.0,410.0,23000.0,20.0,1350.0,0.04,0.04,4.0,17.0,0.1,6.0,1.0,170.0,22.0,9250.0,1427.27,136.36,995.45,21.82,102681.82,6045.45,59.09,733.64,41945.45,172.0,27.27,,15.0,0.2,69.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16, Unidad de Medio Ambiente,Agosto 2007,2007-08-23 10:00:00,-19.6021,-65.7346,De la Ribera,4061.0,,,220.0,4.7,7.26,160.0,13.0,203.0,9.9,38.36,41.23,106.9,2.7,2.52,3.45,3.47,11.0,10.8,19.0,24.0,,10.0,,0.6,,3.0,,3.0,,210.0,,19.0,,0.04,,2.0,,0.6,,6.0,,34.0,,,,,,,,196.15,,1.47,,,-18.0,0.0,78.7,90.0,4.0,33.6,0.06,0.15,0.3,0.02,0.06,4.2,13.0,0.0,2.0,0.002,0.004,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17, Unidad de Medio Ambiente,Agosto 2007,2007-08-25 09:25:00,-20.4865,-65.6185,Tumusla,2564.0,0.615,3.0,806.0,6.48,8.17,706.0,262.0,968.0,9.7,77.83,81.33,378.1,44.63,45.09,6.69,6.59,66.4,70.2,39.0,89.0,1.0,7.0,0.1,0.4,4.0,11.0,0.2,65.0,180.0,12400.0,15.0,315.0,0.04,0.04,2.0,14.0,0.1,135.0,0.1,10.0,3.0,36.0,22.9,1.53,26.72,247.33,46641.22,1145.04,45.8,12.63,125.95,299.0,515.27,,-68.0,0.1,79.7,135.0,39.0,104.1,0.06,0.83,1.8,0.02,0.08,3.0,20.0,0.0,10.0,0.002,0.056,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18, Unidad de Medio Ambiente,Agosto 2007,2007-08-25 11:25:00,-20.8207,-65.6666,Cotagaita,2655.0,0.523,2.0,1760.0,5.54,7.71,1916.0,78.0,1994.0,15.4,159.48,184.94,973.1,139.61,135.03,7.94,8.24,77.3,87.0,25.0,35.0,0.4,34.0,0.1,0.7,4.0,11.0,0.1,5.0,400.0,2850.0,97.0,560.0,0.04,0.04,12.0,51.0,0.1,0.1,0.1,7.0,8.0,77.0,430.77,7.69,89.74,62.82,31410.26,5935.9,500.0,,884.62,97.1,1.28,,-46.0,0.7,84.4,80.0,44.0,619.7,0.03,0.12,0.9,0.02,0.5,4.0,15.0,0.0,2.0,0.002,0.049,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19, Unidad de Medio Ambiente,Agosto 2007,2007-08-22 18:10:00,-20.7422,-65.2405,Tumusla,2321.0,0.338,4.0,1332.0,5.66,8.35,1100.0,40.0,1294.0,17.6,132.11,133.38,704.0,90.86,91.77,7.24,7.34,78.3,82.1,31.0,39.0,2.0,9.0,0.1,0.1,0.4,3.0,0.5,53.0,280.0,2100.0,1.0,191.0,0.04,0.04,2.0,8.0,0.1,36.0,0.1,2.0,2.0,12.0,175.0,2.5,65.0,1312.5,45500.0,4750.0,150.0,,250.0,52.0,900.0,,,0.5,79.9,135.0,47.0,387.3,0.1,0.15,0.5,0.02,0.36,4.2,17.0,0.0,3.0,0.002,0.002,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20, Unidad de Medio Ambiente,Agosto 2007,2007-08-23 15:00:00,-19.5785,-65.8032,Aljamayu,3306.0,0.51,0.0,1440.0,3.44,7.64,1112.0,1024.0,2136.0,19.8,162.03,163.3,473.4,16.71,17.63,29.83,30.96,117.9,127.2,132.0,654.0,16.0,970.0,11.0,86.0,44.0,545.0,0.5,46.0,702.0,40000.0,710.0,1800.0,0.04,0.3,16.0,42.0,0.1,24.0,2.0,702.0,1400.0,10900.0,931.64,73.24,489.26,44.43,38376.95,1064.45,25.39,656.42,9277.34,575.0,23.44,0.29,-32.0,0.5,56.9,165.0,90.0,352.4,0.2,3.74,10.8,0.02,51.73,2.8,55.0,0.0,2.0,0.086,0.006,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21, Unidad de Medio Ambiente,Agosto 2007,2007-08-23 16:20:00,-19.4719,-65.7938,Tarapaya,3286.0,0.428,0.0,1140.0,4.28,7.14,830.0,279.0,1263.0,17.8,170.0,195.13,561.7,17.0,18.08,10.0,12.73,55.0,55.1,32.0,134.0,6.0,430.0,7.0,40.0,6.0,220.0,0.3,48.0,510.0,30700.0,457.0,1130.0,0.04,0.1,9.0,26.0,0.1,100.0,0.1,600.0,1100.0,6000.0,1519.71,118.28,767.03,170.97,108207.89,2412.19,60.93,2114.7,17562.72,343.0,358.42,0.36,-4.0,0.3,66.0,40.0,64.0,266.0,0.1,0.28,3.2,0.22,17.0,11.2,18.0,0.0,15.0,0.17,0.003,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22, Unidad de Medio Ambiente,Agosto 2007,2007-08-24 11:45:00,-19.3581,-65.173,Pilcomayo,2219.0,0.525,7.0,1258.0,6.05,8.47,840.0,55.0,895.0,17.2,116.03,120.48,417.0,30.9,30.9,8.29,8.19,150.8,151.3,24.0,30.0,6.0,38.0,0.2,2.0,2.0,17.0,0.2,35.0,350.0,3400.0,70.0,300.0,0.04,0.04,2.0,6.0,0.1,60.0,0.8,20.0,33.0,425.0,581.82,32.73,272.73,632.73,55454.55,4181.82,72.73,212.91,7127.27,43.7,1090.91,,-87.0,0.4,84.8,150.0,208.0,164.6,0.03,0.12,3.6,11.0,0.3,4.0,14.0,0.0,0.0,0.002,0.055,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23, Unidad de Medio Ambiente,Agosto 2007,2007-08-25 15:40:00,-21.5044,-65.7061,Tupiza,2380.0,0.663,1.0,1654.0,6.11,8.57,1586.0,26.0,1612.0,17.3,168.39,160.12,862.5,113.74,112.37,7.84,7.79,96.2,99.1,22.0,28.0,0.3,9.0,0.1,0.1,4.0,3.0,0.3,2.0,440.0,650.0,18.0,58.0,0.04,0.04,3.0,5.0,0.1,0.1,0.2,1.0,5.0,12.0,334.62,,,65.38,8076.92,1538.46,76.92,,269.23,10.3,,,-93.0,0.6,90.8,155.0,61.0,386.3,0.5,0.8,5.9,1.24,0.59,1.0,14.0,2.0,24.0,0.002,0.048,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24, Unidad de Medio Ambiente,Agosto 2007,2007-08-26 09:25:00,-21.5613,-65.6479,San Juan del Oro,2836.0,0.581,3.0,1251.0,6.23,8.32,1106.0,20.0,1126.0,8.3,148.02,162.03,656.2,59.73,61.11,6.39,6.19,99.6,89.4,45.0,159.0,0.8,9.0,0.1,0.1,0.5,2.0,0.2,2.0,350.0,580.0,8.0,34.0,0.04,0.04,2.0,6.0,0.1,0.1,0.1,0.7,3.0,5.0,410.0,,75.0,90.0,11500.0,1300.0,200.0,,100.0,10.4,,,-76.0,0.4,76.6,180.0,52.0,356.5,0.09,0.09,1.2,0.06,0.32,4.0,22.0,0.0,8.0,0.002,0.048,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
