latitud,longitud,id_syscali01,Latitud:,Longitud:,Río:,Altura,Fecha de Muestreo,Hora de Muestreo,Velocidad media,Caudal,Campaña,Responsable,Conductividad específica (T ref. 25°C) (uS/cm),Oxígeno disuelto (mg/l O2),pH (u pH),Sólidos disueltos totales (mg/l),Sólidos suspendidos totales (mg/l),Sólidos totales (mg/l),Temperatura (C),Calcio disuelto (mg/l Ca),Calcio total (mg/l Ca),Dureza total (mg/l CaCO3),Magnesio disuelto (mg/l Mg),Magnesio total (mg/l Mg),Potasio disuelto (mg/l K),Potasio total (mg/l K),Sodio disuelto (mg/l Na),Sodio total (mg/l Na),Demanda bioquímica de oxígeno (mg/l O2),Demanda química de oxígeno (mg/l O2),Arsenico disuelto (ug/l As),Arsenico total (ug/l As),Cadmio disuelto (ug/l Cd),Cadmio total (ug/l Cd),Cobre disuelto (ug/l Cu),Cobre total (ug/l Cu),Cromo disuelto (ug/l Cr),Cromo total (ug/l Cr),Hierro disuelto (ug/l Fe),Hierro total (ug/l Fe),Manganeso disuelto (ug/l Mn),Manganeso total (ug/l Mn),Mercurio disuelto (ug/l Hg),Mercurio total (ug/l Hg),Niquel disuelto (ug/l Ni),Niquel total (ug/l Ni),Plata disuelto (ug/l Ag),Plata total (ug/l Ag),Plomo disuelto (ug/l Pb),Plomo total (ug/l Pb),Zinc disuelto (ug/l Zn),Zinc total (ug/l Zn),Arsenico suspensión (mg/kg As),Cadmio suspensión (mg/kg Cd),Cobre suspensión (mg/kg Cu),Cromo suspensión (mg/kg Cr),Hierro suspensión (mg/kg Fe),Manganeso suspensión (mg/kg Mn),Niquel suspensión (mg/kg Ni),Plomo suspensión (mg/kg Pb),Zinc en suspensión (mg/kg Zn),Turbiedad (UNT),Plata suspensión (mg/kg Ag),Mercurio suspensión (mg/kg Hg),pH (mV) (mV),Salinidad (Sal),Saturación de oxígeno (%),Alcalinidad total (mg/l CaCO3),Cloruros (mg/l Cl -),Sulfatos (mg/l SO4=),Fósforo disuelto (mg/l PO4),Fósforo total (mg/l PO4),Nitrato (mg/l NO3),Nitrito (mg/l NO2),Nitrógeno amoniacal (mg/l NH4),Nitrógeno total Kjeldahl (mg/l N),Carbono organico disuelto (mg/l),Coliformes fecales (en NMP) (NMP/100 ml),Coliformes totales (en NMP) (NMP/100 ml),Cianuros libre (mg/l CN-),Fenoles (mg/l C6H6O),Sulfuros (mg/l S=),Aerobios mesófilos totales (en UFC) (UFC/100 ml),Coliformes fecales (en UFC) (UFC/100 ml),Coliformes totales (en UFC) (UFC/100 ml),Cianuros libre (CN-),Sulfuros (S=),Cianuros (mg/l CN-),Color (u PtCo),Boro disuelto (ug/l B),Boro total (ug/l B),Selenio disuelto (ug/l Se),Selenio total (ug/l Se),Hidrocarburos totales (mg/l),Boro suspensión (mg/kg B),Selenio suspensión (mg/kg Se),Cobre total (Cu),Cromo disuelto (Cr),Cromo total (Cr),Hierro disuelto (Fe),Hierro total (Fe),Manganeso disuelto (Mn),Manganeso total (Mn),Mercurio disuelto (Hg),Mercurio total (Hg),Niquel disuelto (Ni),Niquel total (Ni),Plata disuelto (Ag),Plata total (Ag),Plomo disuelto (Pb),Plomo total (Pb),Selenio disuelto (Se),Selenio total (Se),Zinc disuelto (Zn),Zinc total (Zn),Fenoles (C6H6O),Aerobios mesófilos totales (en UFC) (UFC/ml),Hidrocarburos totales (),Cadmio total (Cd),Cobre disuelto (Cu),Fósforo total (PO4),Arsenico total (As),Boro disuelto (B),Boro total (B),Cadmio disuelto (Cd),Demanda bioquímica de oxígeno (O2),Demanda química de oxígeno (O2),Arsenico disuelto (As),Magnesio total (Mg),Potasio disuelto (K),Sodio disuelto (Na),Sulfatos (SO4=),Nitrato (NO3),Nitrito (NO2),Nitrógeno amoniacal (NH4),Fósforo disuelto (PO4),Alcalinidad Fenolftaleina (mg/l CaCO3),Turbiedad (NTU),Bismuto disuelto (ug/l Bi),Bismuto total (ug/l Bi),Talio disuelto (ug/l Tl),Talio total (ug/l Tl),Bismuto suspensión (mg/kg Bi),Talio en suspensión (mg/kg Tl),Presión Parcial (mm Hg),Resistividad (Ohm.cm),Bismuto total (Bi),Talio disuelto (Tl),Talio total (Tl),Bismuto disuelto (Bi),Aerobios mesófilos totales (en NMP) (NMP/100 ml),Cianuros (CN-),Coliformes totales (en UFC) (),Coliformes totales (en NMP) (),Alcalinidad total (CaCO3),Dureza total (CaCO3),Magnesio disuelto (Mg),Potasio total (K),Sodio total (Na),Nitrógeno total Kjeldahl (N),Aerobios mesófilos totales (en UFC) (),Coliformes fecales (en NMP) (),Coliformes fecales (en UFC) (),pH en laboratorio (u pH),Sólidos sedimentables (ml/l),Calcio disuelto (Ca),Calcio total (Ca),Cloruros (Cl -),Carbono orgánico total (mg/l)
-22.3792,-62.5189,11,"22º 22' 45.1""","62º31 8.2"" ",Pilcomayo,238 msnm ,26-06-2007,08:10 Hs,SIN DATOS,SIN DATOS,Junio 2007, Unidad de Medio Ambiente,1199,7.25,7.91,800,1400,1914,11.8,86,87,370,38,44,4.8,6.8,120,124,9,31,2,20,< 0.1,< 1,2,30,2,56,300,39000,30,550,< 0.04,0.04,3,35,< 0.1,< 1,< 0.1,33,3,116,12.86,,20.00,38.57,27642.86,371.43,22.86,20.14,80.71,801,,0.03,-55,0.4,68.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-21.2794,-63.4546,12,"21º 16' 45.9""","63º27 16.7"" ",Pilcomayo,431 msnm ,27-06-2007,10:15 Hs,0.227 m/s,53 m3/s,Junio 2007, Unidad de Medio Ambiente,1223,6.84,8.09,842,33,866,15.4,85,88,370,43,44,6,6.1,130,131,7,20,4,5,< 0.1,< 1,5,4,0.5,3,290,1500,12,69,< 0.04,0.04,3,3,< 0.1,< 1,3,3,,,30.30,,,75.76,36666.67,1727.27,0.00,,,36.5,,1.21,-67,0.4,73.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-21.2396,-65.2091,13,"21º 14' 22.6""","65º12 32.6"" ",San Juan del Oro,2339 msnm ,28-06-2007,10:20 Hs,0.67 m/s,6 m3/s,Junio 2007, Unidad de Medio Ambiente,1357,6.51,8.21,1100,18,1200,9.8,150,155,640,70,72,6,6.2,90,97,39,4,3,3,< 0.1,< 1,2,3,0.2,2,440,1500,20,50,< 0.04,< 0.04,3,4,< 0.1,< 1,1,2,17,10,0.00,,55.56,100.00,58888.89,1666.67,55.56,,,14.3,,,-71,0.5,74.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-20.7421,-65.2414,14,"20º 44' 31.7""","65º14 29.0"" ",Tumusla,2336 msnm ,28-06-2007,13:00 Hs,0.432 m/s,6 m3/s,Junio 2007, Unidad de Medio Ambiente,1223,6.03,8.15,1000,202,1300,12.8,99,100,570,81,93,6.3,69,69,71,39,20,3,11,< 0.1,< 1,2,7,0.3,15,280,7000,70,280,< 0.04,0.04,5,13,< 0.1,< 1,2,9,27,42,39.60,,24.75,72.77,33267.33,1039.60,39.60,13.37,74.26,211,,0.20,-68,0.4,77.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-19.4719,-65.7936,15,"19º 28' 18.9""","65º 47' 36.8"" ",Tarapaya,3341 msnm ,29-06-2007,09:40 Hs,0.453 m/s,1 m3/s,Junio 2007, Unidad de Medio Ambiente,884,6.11,6.65,671,220,890,3.6,96,96,330,9.4,11,8.6,9.3,54,59,47,4,3,317,< 0.1,30,2,221,0.2,5,410,23000,20,1350,< 0.04,< 0.04,4,17,< 0.1,6,1,170,22,9250,1427.27,136.36,995.45,21.82,102681.82,6045.45,59.09,733.64,41945.45,172,27.27,,15,0.2,69.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-19.6021,-65.7346,16,"19º 36' 07.4""","65º44 04.5"" ",De la Ribera,4061 msnm ,23-08-2007,10:00 Hs,SIN DATOS,SIN DATOS,Agosto 2007, Unidad de Medio Ambiente,220,4.7,7.26,160,13,203,9.9,38.36,41.23,106.9,2.7,2.52,3.45,3.47,11,10.8,19,24,,10,,0.6,,3,,3,,210,,19,,< 0.04,,2,,0.6,,6,,34,,,,,,,,196.15,,1.47,,,-18,0,78.7,90,4,33.6,0.06,0.15,0.3,< 0.02,0.06,4.2,13,0,2,< 0.002,0.004,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-20.4865,-65.6185,17,"20º 29' 11.5""","65º37 06.6"" ",Tumusla,2564 msnm ,25-08-2007,09:25 Hs,0.615 m/s,3 m3/s,Agosto 2007, Unidad de Medio Ambiente,806,6.48,8.17,706,262,968,9.7,77.83,81.33,378.1,44.63,45.09,6.69,6.59,66.4,70.2,39,89,1,7,< 0.1,0.4,4,11,0.2,65,180,12400,15,315,< 0.04,< 0.04,2,14,< 0.1,135,< 0.1,10,3,36,22.90,1.53,26.72,247.33,46641.22,1145.04,45.80,12.63,125.95,299,515.27,,-68,0.1,79.7,135,39,104.1,0.06,0.83,1.8,< 0.02,0.08,3,20,0,10,< 0.002,0.056,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-20.8207,-65.6666,18,"20º 49' 14.7""","65º39 59.7"" ",Cotagaita,2655 msnm ,25-08-2007,11:25 Hs,0.523 m/s,2 m3/s,Agosto 2007, Unidad de Medio Ambiente,1760,5.54,7.71,1916,78,1994,15.4,159.48,184.94,973.1,139.61,135.03,7.94,8.24,77.3,87,25,35,0.4,34,0.1,0.7,4,11,0.1,5,400,2850,97,560,< 0.04,< 0.04,12,51,< 0.1,0.1,< 0.1,7,8,77,430.77,7.69,89.74,62.82,31410.26,5935.90,500.00,,884.62,97.1,1.28,,-46,0.7,84.4,80,44,619.7,< 0.03,0.12,0.9,0.02,0.5,4,15,0,2,< 0.002,0.049,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-20.7422,-65.2405,19,"20º 44' 31.8""","65º14 25.8"" ",Tumusla,2321 msnm ,22-08-2007,18:10 Hs,0.338 m/s,4 m3/s,Agosto 2007, Unidad de Medio Ambiente,1332,5.66,8.35,1100,40,1294,17.6,132.11,133.38,704,90.86,91.77,7.24,7.34,78.3,82.1,31,39,2,9,< 0.1,0.1,0.4,3,0.5,53,280,2100,1,191,< 0.04,< 0.04,2,8,< 0.1,36,< 0.1,2,2,12,175.00,2.50,65.00,1312.50,45500.00,4750.00,150.00,,250.00,52,900.00,,,0.5,79.9,135,47,387.3,0.1,0.15,< 0.5,< 0.02,0.36,4.2,17,0,3,< 0.002,0.002,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-19.5785,-65.8032,20,"19º 34' 42.5""","65º48 11.5"" ",Aljamayu,3306 msnm ,23-08-2007,15:00 Hs,0.51 m/s,0 m3/s,Agosto 2007, Unidad de Medio Ambiente,1440,3.44,7.64,1112,1024,2136,19.8,162.03,163.3,473.4,16.71,17.63,29.83,30.96,117.9,127.2,132,654,16,970,11,86,44,545,0.5,46,702,40000,710,1800,< 0.04,0.3,16,42,< 0.1,24,2,702,1400,10900,931.64,73.24,489.26,44.43,38376.95,1064.45,25.39,656.42,9277.34,575,23.44,0.29,-32,0.5,56.9,165,90,352.4,0.2,3.74,10.8,< 0.02,51.73,2.8,55,0,2,0.086,0.006,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-19.4719,-65.7938,21,"19º 28' 19""","65º47 37.6"" ",Tarapaya,3286 msnm ,23-08-2007,16:20 Hs,0.428 m/s,0 m3/s,Agosto 2007, Unidad de Medio Ambiente,1140,4.28,7.14,830,279,1263,17.8,170,195.13,561.7,17,18.08,10,12.73,55,55.1,32,134,6,430,7,40,6,220,0.3,48,510,30700,457,1130,< 0.04,0.1,9,26,< 0.1,100,< 0.1,600,1100,6000,1519.71,118.28,767.03,170.97,108207.89,2412.19,60.93,2114.70,17562.72,343,358.42,0.36,-4,0.3,66,40,64,266,0.1,0.28,3.2,0.22,17,11.2,18,0,15,0.17,0.003,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-19.3581,-65.173,22,"19º 21' 29.2""","65º10 22.8"" ",Pilcomayo,2219 msnm ,24-08-2007,11:45 Hs,0.525 m/s,7 m3/s,Agosto 2007, Unidad de Medio Ambiente,1258,6.05,8.47,840,55,895,17.2,116.03,120.48,417,30.9,30.9,8.29,8.19,150.8,151.3,24,30,6,38,0.2,2,2,17,0.2,35,350,3400,70,300,< 0.04,< 0.04,2,6,< 0.1,60,0.8,20,33,425,581.82,32.73,272.73,632.73,55454.55,4181.82,72.73,212.91,7127.27,43.7,1090.91,,-87,0.4,84.8,150,208,164.6,< 0.03,0.12,3.6,11,0.3,4,14,0,0,< 0.002,0.055,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-21.5044,-65.7061,23,"21º 30' 15.8""","65º42 22"" ",Tupiza,2380 msnm ,25-08-2007,15:40 Hs,0.663 m/s,1 m3/s,Agosto 2007, Unidad de Medio Ambiente,1654,6.11,8.57,1586,26,1612,17.3,168.39,160.12,862.5,113.74,112.37,7.84,7.79,96.2,99.1,22,28,0.3,9,< 0.1,< 0.1,4,3,0.3,2,440,650,18,58,< 0.04,< 0.04,3,5,< 0.1,< 0.1,0.2,1,5,12,334.62,,,65.38,8076.92,1538.46,76.92,,269.23,10.3,,,-93,0.6,90.8,155,61,386.3,0.5,0.8,5.9,1.24,0.59,1,14,2,24,< 0.002,0.048,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
