latitud,longitud,id_syscali01,Latitud:,Longitud:,Río:,Altura,Fecha de Muestreo,Hora de Muestreo,Velocidad media,Caudal,Campaña,Responsable,Conductividad específica (T ref. 25°C) (uS/cm),Oxígeno disuelto (mg/l O2),pH (u pH),Sólidos disueltos totales (mg/l),Sólidos suspendidos totales (mg/l),Sólidos totales (mg/l),Temperatura (C),Calcio disuelto (mg/l Ca),Calcio total (mg/l Ca),Dureza total (mg/l CaCO3),Magnesio disuelto (mg/l Mg),Magnesio total (mg/l Mg),Potasio disuelto (mg/l K),Potasio total (mg/l K),Sodio disuelto (mg/l Na),Sodio total (mg/l Na),Demanda bioquímica de oxígeno (mg/l O2),Demanda química de oxígeno (mg/l O2),Arsenico disuelto (ug/l As),Arsenico total (ug/l As),Cadmio disuelto (ug/l Cd),Cadmio total (ug/l Cd),Cobre disuelto (ug/l Cu),Cobre total (ug/l Cu),Cromo disuelto (ug/l Cr),Cromo total (ug/l Cr),Hierro disuelto (ug/l Fe),Hierro total (ug/l Fe),Manganeso disuelto (ug/l Mn),Manganeso total (ug/l Mn),Mercurio disuelto (ug/l Hg),Mercurio total (ug/l Hg),Niquel disuelto (ug/l Ni),Niquel total (ug/l Ni),Plata disuelto (ug/l Ag),Plata total (ug/l Ag),Plomo disuelto (ug/l Pb),Plomo total (ug/l Pb),Zinc disuelto (ug/l Zn),Zinc total (ug/l Zn),Arsenico suspensión (mg/kg As),Cadmio suspensión (mg/kg Cd),Cobre suspensión (mg/kg Cu),Cromo suspensión (mg/kg Cr),Hierro suspensión (mg/kg Fe),Manganeso suspensión (mg/kg Mn),Niquel suspensión (mg/kg Ni),Plomo suspensión (mg/kg Pb),Zinc en suspensión (mg/kg Zn),Turbiedad (UNT),Plata suspensión (mg/kg Ag),Mercurio suspensión (mg/kg Hg),pH (mV) (mV),Salinidad (Sal),Saturación de oxígeno (%),Alcalinidad total (mg/l CaCO3),Cloruros (mg/l Cl -),Sulfatos (mg/l SO4=),Fósforo disuelto (mg/l PO4),Fósforo total (mg/l PO4),Nitrato (mg/l NO3),Nitrito (mg/l NO2),Nitrógeno amoniacal (mg/l NH4),Nitrógeno total Kjeldahl (mg/l N),Carbono organico disuelto (mg/l),Coliformes fecales (en NMP) (NMP/100 ml),Coliformes totales (en NMP) (NMP/100 ml),Cianuros libre (mg/l CN-),Fenoles (mg/l C6H6O),Sulfuros (mg/l S=),Aerobios mesófilos totales (en UFC) (UFC/100 ml),Coliformes fecales (en UFC) (UFC/100 ml),Coliformes totales (en UFC) (UFC/100 ml),Cianuros libre (CN-),Sulfuros (S=),Cianuros (mg/l CN-),Color (u PtCo),Boro disuelto (ug/l B),Boro total (ug/l B),Selenio disuelto (ug/l Se),Selenio total (ug/l Se),Hidrocarburos totales (mg/l),Boro suspensión (mg/kg B),Selenio suspensión (mg/kg Se),Cobre total (Cu),Cromo disuelto (Cr),Cromo total (Cr),Hierro disuelto (Fe),Hierro total (Fe),Manganeso disuelto (Mn),Manganeso total (Mn),Mercurio disuelto (Hg),Mercurio total (Hg),Niquel disuelto (Ni),Niquel total (Ni),Plata disuelto (Ag),Plata total (Ag),Plomo disuelto (Pb),Plomo total (Pb),Selenio disuelto (Se),Selenio total (Se),Zinc disuelto (Zn),Zinc total (Zn),Fenoles (C6H6O),Aerobios mesófilos totales (en UFC) (UFC/ml),Hidrocarburos totales (),Cadmio total (Cd),Cobre disuelto (Cu),Fósforo total (PO4),Arsenico total (As),Boro disuelto (B),Boro total (B),Cadmio disuelto (Cd),Demanda bioquímica de oxígeno (O2),Demanda química de oxígeno (O2),Arsenico disuelto (As),Magnesio total (Mg),Potasio disuelto (K),Sodio disuelto (Na),Sulfatos (SO4=),Nitrato (NO3),Nitrito (NO2),Nitrógeno amoniacal (NH4),Fósforo disuelto (PO4),Alcalinidad Fenolftaleina (mg/l CaCO3),Turbiedad (NTU),Bismuto disuelto (ug/l Bi),Bismuto total (ug/l Bi),Talio disuelto (ug/l Tl),Talio total (ug/l Tl),Bismuto suspensión (mg/kg Bi),Talio en suspensión (mg/kg Tl),Presión Parcial (mm Hg),Resistividad (Ohm.cm),Bismuto total (Bi),Talio disuelto (Tl),Talio total (Tl),Bismuto disuelto (Bi),Aerobios mesófilos totales (en NMP) (NMP/100 ml),Cianuros (CN-),Coliformes totales (en UFC) (),Coliformes totales (en NMP) (),Alcalinidad total (CaCO3),Dureza total (CaCO3),Magnesio disuelto (Mg),Potasio total (K),Sodio total (Na),Nitrógeno total Kjeldahl (N),Aerobios mesófilos totales (en UFC) (),Coliformes fecales (en NMP) (),Coliformes fecales (en UFC) (),pH en laboratorio (u pH),Sólidos sedimentables (ml/l),Calcio disuelto (Ca),Calcio total (Ca),Cloruros (Cl -),Carbono orgánico total (mg/l)
-22.3792,-62.5189,1,"22º 22' 45.1""","62º31 8.2"" ",Pilcomayo,238 msnm ,26-04-2007,08:05 Hs,1.027 m/s,124 m3/s,Abril 2007, Unidad de Medio Ambiente,709,6.32,7.81,486,504,990,17.7,60.1,63,270,21,26.9,3.2,8.53,48.3,58.7,27,63,2.3,17,< 0.2,1.6,1.2,26,1.1,58,250,33000,11.3,539,< 0.08,< 0.08,2.8,32,< 0.08,< 0.08,< 0.08,59,3.3,89,29.17,3.17,49.21,112.90,64980.16,1047.02,57.94,110.71,170.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-21.2794,-63.4546,2,"21º 16' 45.9""","63º27 16.7"" ",Pilcomayo,431 msnm ,27-04-2007,10:00 Hs,0.441 m/s,113 m3/s,Abril 2007, Unidad de Medio Ambiente,804,5.89,8.23,566,150,774,21,52.3,55.11,240,22,24.3,3.34,4.38,59.6,75.8,11,25,2.8,7.3,0.3,0.2,1.5,5.6,1.7,8.3,390,5200,8.8,115,< 0.08,< 0.08,3.6,7,< 0.08,< 0.08,2.7,5.6,,,30.00,,27.33,44.00,32066.67,708.00,22.67,15.07,,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-21.2396,-65.2091,3,"21º 14' 22.6""","65º12 32.6"" ",San Juan del Oro,2339 msnm ,28-04-2007,10:05 Hs,0.829 m/s,9 m3/s,Abril 2007, Unidad de Medio Ambiente,1346,6.44,8.23,1100,59,1200,12.9,141,155,610,60,63,4.78,7.64,73.7,84.5,22.8,7,3,4.9,< 0.2,< 0.08,1.3,7.2,2,2.7,470,20000,11.8,66,< 0.08,< 0.08,5,7.8,< 0.08,< 0.08,< 0.08,3,9.9,12,32.20,,100.00,11.86,331016.95,918.64,47.46,,35.59,51.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-20.7421,-65.2414,4,"20º 44' 31.7""","65º14 29.0"" ",Tumusla,2336 msnm ,28-04-2007,13:00 Hs,0.55 m/s,8 m3/s,Abril 2007, Unidad de Medio Ambiente,1285,5.63,8.31,1000,270,1500,16.8,99.1,154,700,86.3,91,5.33,9.1,55.9,67.9,40.35,46,3.2,7.6,< 0.2,0.35,0.9,9.1,2.4,17,340,11000,94,317,< 0.08,< 0.08,5.6,16.2,< 0.08,< 0.08,< 0.08,8.5,3.2,38.4,16.30,1.30,30.37,54.07,39481.48,825.93,39.26,11.74,130.37,362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-19.4719,-65.7936,5,"19º 28' 18.9""","65º 47' 36.8"" ",Tarapaya,3341 msnm ,29-04-2007,10:30 Hs,0.74 m/s,2 m3/s,Abril 2007, Unidad de Medio Ambiente,813,4.77,6.72,620,150,800,13.2,91.5,103,310,10,13.4,5.59,8.31,34,42.9,81,21,18.2,170,14.7,20,7.5,122,0.4,4.2,3000,20000,950,1200,< 0.08,< 0.08,13.3,18.2,< 0.08,1.2,< 0.08,49,4300,5700,1012.00,35.33,763.33,25.33,113333.33,1666.67,32.67,289.40,9333.33,196,8.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-22.3792,-62.5189,6,"22º 22' 45.1""","62º31 8.2"" ",Pilcomayo,238 msnm ,28-05-2007,08:00 Hs,0.858 m/s,72 m3/s,Mayo 2007, Unidad de Medio Ambiente,941,6.4,7.73,894,2044,2560,15.6,77,83,372,31,43,4.7,7.3,85.5,95,17,53,2,44,< 0.1,7,2,70,1,164,180,62000,25,1000,< 0.04,0.04,2,86,< 0.1,2,< 0.1,168,1,265,20.55,3.42,33.27,79.75,30244.62,477.01,41.10,79.89,129.16,1058,0.98,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-21.2794,-63.4546,7,"21º 16' 45.9""","63º27 16.7"" ",Pilcomayo,431 msnm ,29-05-2007,09:35 Hs,SIN DATOS,SIN DATOS,Mayo 2007, Unidad de Medio Ambiente,1001,7.54,8.22,866,62,936,11.1,71,75,347,34,35,4.5,4.6,94,95,4,12,< 0.1,10,< 0.1,2,0.2,9,0.1,7,< 100,3500,< 0.1,107,< 0.04,< 0.04,< 0.1,8,< 0.1,< 1,< 0.1,8,3,57,161.29,32.26,141.94,111.29,56451.61,1725.81,129.03,56.45,870.97,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-21.2396,-65.2091,8,"21º 14' 22.6""","65º12 32.6"" ",San Juan del Oro,2339 msnm ,30-05-2007,09:45 Hs,0.73 m/s,5 m3/s,Mayo 2007, Unidad de Medio Ambiente,1397,6.4,8.35,,29,2344,7.8,150,155,645,67,68,6,6.4,90,90,44.17,6,3,8,< 0.1,22,1,8,3,5,310,4500,14,172,< 0.04,< 0.04,3,13,< 0.1,124,< 0.1,8,5,100,172.41,758.62,241.38,68.97,144482.76,5448.28,344.83,68.97,3275.86,30.1,4275.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-20.7421,-65.2414,9,"20º 44' 31.7""","65º14 29.0"" ",Tumusla,2336 msnm ,30-05-2007,12:35 Hs,0.446 m/s,6 m3/s,Mayo 2007, Unidad de Medio Ambiente,1306,5.55,8.33,2136,242,2454,11.7,100,105,630,95,98,5.9,5.9,69,71,47.3,58,3,16,< 0.1,4,1,31,1,24,200,15000,70,650,< 0.04,< 0.04,6,31,< 0.1,7,< 0.1,13,9,133,53.72,16.53,123.97,95.04,61157.02,2396.69,103.31,29.34,512.40,230,28.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-19.4719,-65.7936,10,"19º 28' 18.9""","65º 47' 36.8"" ",Tarapaya,3341 msnm ,31-05-2007,07:15 Hs,0.532 m/s,1 m3/s,Mayo 2007, Unidad de Medio Ambiente,907,6.18,7.15,748,740,1456,4.7,130,140,330,9.3,10,10.2,10,51,51,98.07,75,20,1750,9,80,10,600,1,53,2400,45000,540,1400,< 0.04,0.3,10,36,< 0.1,62,< 0.1,2000,1650,8900,2337.84,95.95,797.30,70.27,57567.57,1162.16,35.14,2688.92,9797.30,745,83.78,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
